Geneid	/data/biohub/20180328_Atkins_RatFracture/2_alignedData/bam/188_F_CB2YGANXX_TTAGGC_L001Aligned.sortedByCoord.out.bam	/data/biohub/20180328_Atkins_RatFracture/2_alignedData/bam/179_F_CB2YGANXX_ATCACG_L001Aligned.sortedByCoord.out.bam	/data/biohub/20180328_Atkins_RatFracture/2_alignedData/bam/192_F_CB2YGANXX_ACAGTG_L001Aligned.sortedByCoord.out.bam	/data/biohub/20180328_Atkins_RatFracture/2_alignedData/bam/190_F_CB2YGANXX_TGACCA_L001Aligned.sortedByCoord.out.bam	/data/biohub/20180328_Atkins_RatFracture/2_alignedData/bam/187_F_CB2YGANXX_CGATGT_L001Aligned.sortedByCoord.out.bam	/data/biohub/20180328_Atkins_RatFracture/2_alignedData/bam/194_F_CB2YGANXX_GCCAAT_L001Aligned.sortedByCoord.out.bam
ENSRNOG00000057561	3	1	3	3	1	2
ENSRNOG00000016728	222	163	331	319	247	458
ENSRNOG00000056223	66	109	45	163	172	233
ENSRNOG00000023531	3	2	3	1	0	4
ENSRNOG00000016490	10	4	1	2	0	0
ENSRNOG00000059546	2	1	1	1	0	0
ENSRNOG00000054504	1	3	8	2	4	5
ENSRNOG00000053507	2	0	0	0	0	0
ENSRNOG00000053052	11	6	1	5	4	0
ENSRNOG00000017030	249	402	929	1231	926	1378
ENSRNOG00000016973	105	132	144	193	212	210
ENSRNOG00000029049	71	101	210	226	126	157
ENSRNOG00000058103	6	5	1	1	0	1
ENSRNOG00000046874	150	240	261	376	332	422
ENSRNOG00000017114	106	126	166	176	144	162
ENSRNOG00000017889	34	48	68	71	69	103
ENSRNOG00000018007	182	235	171	584	577	601
ENSRNOG00000018012	158	191	307	281	181	323
ENSRNOG00000045491	3	3	3	1	0	2
ENSRNOG00000018158	97	131	156	224	147	203
ENSRNOG00000018207	357	468	389	878	887	814
ENSRNOG00000018321	42	91	102	217	109	149
ENSRNOG00000018524	329	667	1159	1037	846	1307
ENSRNOG00000058299	1	1	0	0	0	0
ENSRNOG00000018762	15	21	25	26	27	28
ENSRNOG00000018915	465	495	616	815	641	939
ENSRNOG00000058258	22	11	10	3	5	6
ENSRNOG00000018935	1	0	4	1	0	3
ENSRNOG00000030210	477	631	406	484	1570	1235
ENSRNOG00000054760	2	0	1	0	0	0
ENSRNOG00000058069	4	3	1	1	2	1
ENSRNOG00000019048	1662	1922	549	1280	2418	1339
ENSRNOG00000019091	662	935	580	1812	2346	2612
ENSRNOG00000019189	30	46	71	37	33	63
ENSRNOG00000013975	18	17	21	22	11	23
ENSRNOG00000014160	622	1047	1161	1926	2450	2968
ENSRNOG00000058152	5	25	7	22	56	16
ENSRNOG00000051969	0	1	4	3	1	0
ENSRNOG00000014582	218	387	304	793	976	854
ENSRNOG00000023140	10	19	35	22	11	15
ENSRNOG00000014965	6	3	8	2	0	1
ENSRNOG00000014971	2	1	2	1	0	0
ENSRNOG00000014997	1571	1806	2147	2072	2392	2796
ENSRNOG00000051780	7	2	3	4	3	12
